seg,col
4836,8FBC8B
4850,8FBC8B
4864,D8BFD8
4878,8FBC8B
4892,C0C0C0
4906,C0C0C0
4920,D8BFD8
4934,8FBC8B
4948,C0C0C0
4962,C0C0C0
4976,C0C0C0
4990,C0C0C0
5004,C0C0C0
5018,C0C0C0
5032,D8BFD8
5046,8FBC8B
5060,8FBC8B
5074,8FBC8B
5088,8FBC8B
5102,8FBC8B
5116,8FBC8B
5130,D8BFD8
5144,C0C0C0
5158,D8BFD8
5172,D8BFD8
5186,8FBC8B
5200,D8BFD8
5214,C0C0C0
5228,C0C0C0
5242,4FF69B4
5256,8FBC8B
5270,D8BFD8
5284,C0C0C0
5298,D8BFD8
5312,C0C0C0
5326,C0C0C0
5340,D8BFD8
5354,C0C0C0
5368,8FBC8B
5382,D8BFD8
5396,8FBC8B
5410,8FBC8B
5424,D8BFD8
5438,D8BFD8
5452,D8BFD8
5466,8FBC8B
5480,C0C0C0
5494,C0C0C0
5508,8FBC8B
5522,8FBC8B
5536,D8BFD8
5550,C0C0C0
5564,C0C0C0
5578,C0C0C0
5592,C0C0C0
5606,8FBC8B
5620,C0C0C0
5634,C0C0C0
5648,D8BFD8
5662,8FBC8B
5676,C0C0C0
5690,C0C0C0
5704,C0C0C0
5718,8FBC8B
5732,C0C0C0
5746,8FBC8B
5760,D8BFD8
5774,8FBC8B
5788,C0C0C0
5802,C0C0C0
5816,C0C0C0
5830,D8BFD8
5844,C0C0C0
5858,C0C0C0
5872,D8BFD8
5886,C0C0C0
5900,4FF69B4
5914,8FBC8B
5928,C0C0C0
5942,C0C0C0
5956,C0C0C0
5970,8FBC8B
5984,D8BFD8
5998,C0C0C0
6012,8FBC8B
6026,4FF69B4
6040,C0C0C0
6054,C0C0C0
6068,D8BFD8
6082,D8BFD8
6096,C0C0C0
6110,D8BFD8
6124,C0C0C0
6138,C0C0C0
6152,8FBC8B
6166,8FBC8B
6180,D8BFD8
6194,D8BFD8
6208,D8BFD8
6222,D8BFD8
6236,C0C0C0
6250,D8BFD8
6264,D8BFD8
6278,C0C0C0
6292,8FBC8B
6306,C0C0C0
6320,C0C0C0
6334,4FF69B4
6348,C0C0C0
6362,C0C0C0
6376,D8BFD8
6390,D8BFD8
6404,4FF69B4
6418,C0C0C0
6432,8FBC8B
6446,C0C0C0
6460,8FBC8B
6474,D8BFD8
6488,D8BFD8
6502,4FF69B4
6516,D8BFD8
6530,D8BFD8
6544,4FF69B4
6558,C0C0C0
6572,D8BFD8
6586,D8BFD8
6600,D8BFD8
6614,C0C0C0
6628,C0C0C0
6642,8FBC8B
6656,8FBC8B
6670,8FBC8B
6684,8FBC8B
6698,C0C0C0
6712,4FF69B4
6726,4FF69B4
6740,D8BFD8
6754,C0C0C0
6768,C0C0C0
6782,D8BFD8
6796,C0C0C0
6810,C0C0C0
6824,C0C0C0
6838,8FBC8B
6852,D8BFD8
6866,4FF69B4
6880,8FBC8B
6894,D8BFD8
6908,4FF69B4
6922,C0C0C0
6936,8FBC8B
6950,C0C0C0
6964,D8BFD8
6978,C0C0C0
6992,C0C0C0
7006,D8BFD8
7020,C0C0C0
7034,C0C0C0
7048,C0C0C0
7062,8FBC8B
7076,8FBC8B
7090,D8BFD8
7104,D8BFD8
7118,C0C0C0
7132,D8BFD8
7146,D8BFD8
7160,8FBC8B
